city,latitude,longitude,elevation,longitude_numeric,latitude_numeric,elevation_numeric
Detroit,42°20'N,83°03'W,182 m,-83.05,42.333,182.0
Montevideo,34°54'S,56°11'W,46 m,-56.183,-34.9,46.0
Winnipeg,49°54'N,97°08'W,228 m,-97.133,49.9,228.0
Dhaka,23°43'N,90°25'E,15 m,90.417,23.717,15.0
Montréal,45°30'N,73°34'W,48 m,-73.567,45.5,48.0
Yangon,16°49'N,96°10'E,45 m,96.167,16.817,45.0
Doha,25°17'N,51°32'E,14 m,51.533,25.283,14.0
Moscow,55°45'N,37°37'E,147 m,37.617,55.75,147.0
Zagreb,45°49'N,15°59'E,134 m,15.983,45.817,134.0
Dubai,25°16'N,55°18'E,7 m,55.3,25.267,7.0
Mumbai,18°57'N,72°50'E,10 m,72.833,18.95,10.0
Zürich,47°22'N,8°32'E,407 m,8.533,47.367,407.0
Dublin,53°21'N,6°16'W,17 m,-6.267,53.35,17.0
Nairobi,1°17'S,36°49'E,1680 m,36.817,-1.283,1680.0
Edmonton,53°33'N,113°30'W,692 m,-113.5,53.55,692.0
Nassau,25°05'N,77°20'W,9 m,-77.333,25.083,9.0
